Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2000","2000","I$","11197.3","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2001","2001","I$","11309.8","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2002","2002","I$","11429.8","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2003","2003","I$","11704.8","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2004","2004","I$","12144.5","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2005","2005","I$","12538","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2006","2006","I$","13013.1","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2007","2007","I$","13511.9","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2008","2008","I$","13710.9","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2009","2009","I$","13449.6","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2010","2010","I$","13959","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2011","2011","I$","14340.2","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2012","2012","I$","14625.6","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2013","2013","I$","14887.1","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2014","2014","I$","15202.5","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2015","2015","I$","15524.3","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2016","2016","I$","15842","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2017","2017","I$","16251.4","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2018","2018","I$","16658.3","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2019","2019","I$","16951.4","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2020","2020","I$","16260.2","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6126","Valor","22013","PIB per cápita, PPA ($ a precios internacionales constantes de 2017)","2021","2021","I$","17077.7","X","Cifra de fuentes internacionales",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20002002","2000-2002","millones No","804.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20012003","2001-2003","millones No","817.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20022004","2002-2004","millones No","822.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20032005","2003-2005","millones No","811","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20042006","2004-2006","millones No","786.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20052007","2005-2007","millones No","743.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20062008","2006-2008","millones No","700.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20072009","2007-2009","millones No","672","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20082010","2008-2010","millones No","640.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20092011","2009-2011","millones No","612.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20102012","2010-2012","millones No","585.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20112013","2011-2013","millones No","576.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20122014","2012-2014","millones No","572.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20132015","2013-2015","millones No","575","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20142016","2014-2016","millones No","579.7","E","Valor estimado",""
